frame SyncTime CallbackTime CopyTime ReconTime VisTime UsleepTime
0 0.801134 0 5.63181 3.82769 0.403925 0
1 398.96 4.10249 4.09413 4.2156 0.011892 0
2 20.5676 1.47781 4.07955 4.08606 0.010266 0
3 23.7088 1.46172 4.33662 4.05164 0.007803 0
4 23.5986 1.51203 4.09912 4.12789 0.009144 0
5 23.3993 1.47485 4.07747 4.19705 0.009736 0
6 23.5992 1.49904 4.34106 4.04508 0.011808 0
7 23.4392 1.48751 4.07855 4.19153 0.008609 0
8 23.3532 1.46838 4.0811 4.11909 0.011543 0
9 23.5988 1.4773 4.17611 4.06664 0.009901 0
10 23.6537 1.48295 4.07452 4.14413 0.009154 0
11 23.1945 1.47395 4.06159 4.1086 0.007024 0
12 23.779 1.85078 4.15492 4.02441 0.009463 0
13 23.3202 1.47996 4.07375 4.00794 0.008467 0
14 23.437 1.47923 4.09964 3.99774 0.009909 0
15 23.8905 1.56464 4.12828 4.10523 0.00846 0
16 23.4598 1.48263 4.07537 4.12966 0.009081 0
17 23.2657 1.48963 4.06779 4.1405 0.010528 0
18 23.9127 1.54284 4.1353 3.99511 0.012059 0
19 23.4138 1.49737 4.07371 4.11302 0.007603 0
20 23.1471 1.47043 4.08579 4.1037 0.008061 0
21 23.868 1.50858 4.13081 3.96305 0.008399 0
22 23.5656 1.48972 4.0875 4.05121 0.008123 0
23 23.2752 1.45315 4.07608 3.99332 0.006713 0
24 23.8702 1.78383 4.13272 3.98243 0.012068 0
25 23.523 1.45926 4.15447 3.98603 0.008834 0
26 23.3933 1.56213 4.08224 4.05241 0.009513 0
27 23.7773 1.7509 4.11599 4.11237 0.009044 0
28 23.2827 1.45047 4.08327 4.09849 0.009064 0
29 23.3502 1.4399 4.06956 4.06429 0.007555 0
30 23.6917 1.73126 4.14707 4.13397 0.01012 0
31 23.4647 1.45948 4.11035 4.10663 0.009482 0
32 23.2605 1.56166 4.09682 3.97231 0.009687 0
33 24.1127 1.57053 4.11836 4.05238 0.009141 0
34 23.1747 1.47437 4.0919 4.11488 0.010251 0
35 23.3265 1.44901 4.07702 4.03106 0.006271 0
36 24.1799 1.50494 4.11883 3.97685 0.009629 0
37 23.339 1.45172 4.2065 4.12897 0.008918 0
38 23.2994 1.55296 4.0769 4.11312 0.008857 0
39 23.887 1.58425 4.15137 4.10533 0.008928 0
40 23.3002 1.44446 4.0937 4.04702 0.008591 0
41 23.3256 1.46246 4.07029 4.04153 0.007844 0
42 23.6481 1.71221 4.15306 4.13203 0.008259 0
